,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
0,2022-07-20 23:05:46+00:00,https://twitter.com/Thoby__/status/1549893355387207681,Thoby__,Twitter Web App,Wherever you want me to be.,"I started learning Power BI through #NG30DaysOfLearning and here is my capstone project.
It is fully documented on Github and can be accessed via: https://t.co/nYW9XpU7Nu https://t.co/lVgI4bL3Ks",0,0,0,0
1,2022-07-20 22:01:56+00:00,https://twitter.com/AbdgafarYusuf/status/1549877290561060865,AbdgafarYusuf,Twitter for Android,,"My submission for the #NG30DaysOfLearning Capstone project.
@TheOyinbooke 
Documentation: https://t.co/NXh7zAzdxz https://t.co/ablYUSsUHY",1,0,0,0
2,2022-07-20 21:55:12+00:00,https://twitter.com/Olaoluwa__Mercy/status/1549875598268547074,Olaoluwa__Mercy,Twitter for Android,Ile-Ife,"#30daysoflearning
Capstone Project: Airline delay Analysis

GitHub
https://t.co/CgllDQ5IF9

interact with the dashboard here: https://t.co/N3K5w9ryuo

I'll really appreciate reviews n corrections
@TheOyinbooke  @addy_xls 
@jessica_xls  @DavidAbu_ 
@Alexa_Ighodaro @PauloDaguvnor https://t.co/DXltraAKLL",3,1,0,1
3,2022-07-20 21:30:34+00:00,https://twitter.com/Adebayo17108247/status/1549869399238131715,Adebayo17108247,Twitter for Android,Lagos,"#30daysoflearning #100DaysOfCode 
I won't be able to continue with posting my learning process due to some issue that are beyond my power. 

But will be back.....💪💪💪",3,1,0,1
4,2022-07-20 21:17:53+00:00,https://twitter.com/Olaoluwa__Mercy/status/1549866206236131329,Olaoluwa__Mercy,Twitter for Android,Ile-Ife,"#30daysoflearning
30 days don reach ooo😩😩😩
Capstone project 🤝🤝🤝🤝
Deadline is today and I never submit 😕😕.
NEPA and  national grid did my yeye😒😕😒😕

I've done one or two already sha🌚
Make I submit laidat😭😭",2,0,0,0
5,2022-07-20 20:39:06+00:00,https://twitter.com/This_Rukayat/status/1549856446078132234,This_Rukayat,Twitter for Android,,"I activated Azure for student credit and I enroll for Cloud skill challenge.
Thanks to the amazing Mentors 
@TheOyinbooke @japhletnwamu @CinnamonXi 
#30daysoflearning 
#DataAnalytics",4,1,0,0
6,2022-07-20 20:31:56+00:00,https://twitter.com/Mayor_of_Data/status/1549854644918157313,Mayor_of_Data,Twitter Web App,,"Here is my capstone project for the #NG30DAYSOFLEARNING You can read up on it at:
https://t.co/SGrgnk7ll0 https://t.co/HIMrIrK5y1",0,0,0,0
7,2022-07-20 19:00:08+00:00,https://twitter.com/SarikaPurohit5/status/1549831542691831809,SarikaPurohit5,Twitter Web App,,"Day 4 of #30Daysofcode with 
@geeky01adarsh

Today, I learned about Adding Images, fonts, buttons in login page . Also faced some issues while debugging and resolved it!🥳🔥

#30daysoflearning #flutterdev #flutter https://t.co/TDtLcYCoHT",2,1,0,0
8,2022-07-20 18:35:30+00:00,https://twitter.com/ethicsBot_/status/1549825343426527236,ethicsBot_,ethicsBot,Brasil,"Dia 2 de #30daysoflearning Data Analytics.

Aprendeu sobre viés de dados, tipos de viés, ética de dados e aspectos da ética de dados

#DataAnalytics #DataScience #Database #GoogleData https://t.co/FMNOCqtW0U",1,1,0,0
9,2022-07-20 18:35:24+00:00,https://twitter.com/AinaOluwatobi11/status/1549825316591394817,AinaOluwatobi11,Twitter for Android,,"Day 2 of #30daysoflearning Data Analytics.

Learnt about Data bias, Types of bias, Data Ethics and aspect of data ethics 

#DataAnalytics #DataScience #Database #GoogleData",3,3,1,0
10,2022-07-20 18:23:54+00:00,https://twitter.com/This_Rukayat/status/1549822423771619328,This_Rukayat,Twitter for Android,,I am just starting my learning at #30daysoflearning on the track Data Analysis and yes I will be documenting my progress here 💃💃,1,0,0,0
11,2022-07-20 18:17:33+00:00,https://twitter.com/EhinmetanSerah/status/1549820825569792002,EhinmetanSerah,Twitter for Android,,"Submission for the #NG30DaysOfLearning capstone project using PowerBi.Documentation here https://t.co/1jD6bIIMl3. A big thanks to @TheOyinbooke for this great opportunity.All reviews will be highly appreciated,#dataviz,#Datafam #PowerBI. @OlugbamiJoseph ,@AhmedOyelowo,@DavidAbu_ https://t.co/Zsri1nHqKo",5,0,0,1
12,2022-07-20 17:54:40+00:00,https://twitter.com/_OliSir/status/1549815065255239687,_OliSir,Twitter for Android,"Lagos, Nigeria","See fine fine viz everywhere. Omo....
#30DaysOfLearning 
#PowerBi
#CapstoneProject",0,0,0,0
13,2022-07-20 17:38:40+00:00,https://twitter.com/OluwasonaPa/status/1549811037943353350,OluwasonaPa,Twitter for Android,Data Space,"This is the link to the documentation for the capstone project: https://t.co/LYcbmMLw39

#30daysoflearning #dataviz #DataFam https://t.co/Uw2IwjddO9 https://t.co/4LkyG4xJxm",1,0,0,0
14,2022-07-20 17:30:47+00:00,https://twitter.com/ZaynabKareem2/status/1549809053383237637,ZaynabKareem2,Twitter for Android,,Long time no #NG30DaysOfLearning 😶,1,0,0,0
15,2022-07-20 17:23:30+00:00,https://twitter.com/GbemiAdekoya/status/1549807221445369856,GbemiAdekoya,Twitter for Android,"Lagos, Nigeria","In June, I started learning Power BI with #30daysoflearning organized by @TheOyinbooke
This is my Capstone Project. We were asked to analyse a dataset from kaggle about airplane crashes and tell a visual story with it.
Posting two so you can see the effect of colors. https://t.co/3EU2rvnW4y",32,5,1,7
16,2022-07-20 17:04:42+00:00,https://twitter.com/VickyOyeshide/status/1549802493256818688,VickyOyeshide,Twitter for Android,,"I'm so happy I'm learning, even amidst asuu strike 🙂. Thanks to @TheOyinbooke who organized
 @30daysoflearning powerbi . Finally,have been able to put what I have learnt into practice 😊. Kindly help review and comment on my work 😌
https://t.co/kGOxOIGTKH
#30daysoflearning https://t.co/Zqeq3ADIDe",0,0,0,0
17,2022-07-20 17:03:41+00:00,https://twitter.com/thebenjamin1st/status/1549802237328769027,thebenjamin1st,Twitter Web App,,"@mamazfavourite @TheOyinbooke @Alexa_Ighodaro @saltypip @jessica_xls @DavidAbu_ Great viz! the purpose of a viz is for a layman to understand which is awesomely visualized. Also, the documentation is well detailed and documented..keep up the good work. #NG30DaysOfLearning",1,0,0,0
18,2022-07-20 16:34:10+00:00,https://twitter.com/AbdullahiYinus3/status/1549794807811284993,AbdullahiYinus3,Twitter for Android,"Lagos, Nigeria","Project submission for #30daysoflearning
It's been great learning and building on Powerbi this past month. I've gone from zero in powerbi to a little competency . Documentation on GitHub https://t.co/pZeBh9Q79O Thank you for the opportunity @TheOyinbooke https://t.co/o7w1fc0cu4 https://t.co/rZ6sLx67Xj",6,1,0,0
19,2022-07-20 16:19:18+00:00,https://twitter.com/tholar_gold/status/1549791066605457409,tholar_gold,Twitter for Android,"Lagos, Nigeria","DAY 5
Watched the recorded session on ""A Day in the life of a Data Analyst"",
I learnt the soft skills needed as a data analyst.They include: Communication &amp; Presentation skills,Curiosity,Domain Knowledge,Stakeholder Management,Ownership Mindset
Business Value
#NG30DaysOfLearning",1,0,0,0
20,2022-07-20 16:08:36+00:00,https://twitter.com/tholar_gold/status/1549788371492507648,tholar_gold,Twitter for Android,"Lagos, Nigeria","DAY 4
Learnt how:
Power BI integrates into M365 apps(Microsoft Teams, Sharepoint list &amp; Powerpoint).
To create a list, load excel files, and integrate the data to Power BI.
To embed Power BI into MS PowerPoint
#NG30DaysOfLearning #data",2,0,0,1
21,2022-07-20 15:50:33+00:00,https://twitter.com/debunmiT/status/1549783832517304321,debunmiT,Twitter for Android,,"Showing my mentors what I can do with what I have learnt @TheOyinbooke Capstone Project: Airplane crash Analysis for year 1908-2019. #NG30DaysOfLearning
Main dataset given was to 2009,took a step further and got dataset till 2019
Link to documentation https://t.co/oOMfzMyU0q https://t.co/CKso0SrWIw",84,14,0,6
22,2022-07-20 15:28:55+00:00,https://twitter.com/ZionDoz/status/1549778386775674881,ZionDoz,Twitter for Android,Nigeria,"This is my capstone project which is also my third Project with Microsoft #NG30DaysOfLearning
,This is the  link to the documentation : https://t.co/OPUnEhdDF2",1,1,0,0
23,2022-07-20 15:24:30+00:00,https://twitter.com/ZionDoz/status/1549777274530062338,ZionDoz,Twitter Web App,Nigeria,"It has been an awesome experience so far with Microsoft #NG30DaysOfLearning ,It was like the 30Days shouldn't end. I say a big Thank you to @TheOyinbooke @jessica_xls @PauloDaguvnor @DavidAbu_ @GiftOjeabulu_ @Alexa_Ighodaro @Zionbonzo and the data family #30DaysofLearning. https://t.co/neLWlqmLGG",21,7,0,6
24,2022-07-20 14:31:08+00:00,https://twitter.com/mamazfavourite/status/1549763845408935938,mamazfavourite,Twitter for iPhone,"Lagos, Nigeria","My submission for the #NG30DaysOfLearning capstone project using PowerBi. All reviews will be highly appreciated. 🙏

@TheOyinbooke @Alexa_Ighodaro @saltypip @jessica_xls @DavidAbu_ 

Documentation: https://t.co/v5ExWDlpeZ https://t.co/YQMRbIzCmS",34,6,0,5
25,2022-07-20 13:48:17+00:00,https://twitter.com/AbdullahiYinus3/status/1549753061563895810,AbdullahiYinus3,Twitter for Android,"Lagos, Nigeria",@asmith83 Thanks to @TheOyinbooke this is looking normal to me😂😂 #30daysoflearning,0,0,0,0
26,2022-07-20 09:04:42+00:00,https://twitter.com/japhletnwamu/status/1549681693984014336,japhletnwamu,Twitter for Android,"Edo, Nigeria","Guess what? We've updated the Power Platform curriculum for #30DaysOfLearning so you can utilize it anytime anyday.

Best part is your 30days can now begin whenever you want. Check it out here https://t.co/gap7VgyPOd.

@lee_stott @TheOyinbooke @aprildunnam @DavidAbu_ @John_Papa",29,17,0,2
27,2022-07-20 09:00:09+00:00,https://twitter.com/jessica_xls/status/1549680549274550273,jessica_xls,Twitter for iPhone,"Toronto, Ontario",@kwabzmann I know of a few in Nigeria like @PrepsNg @dataleum &amp;  @TheOyinbooke is also hosting #NG30DaysOfLearning for students. They can also learn on Udemy too. Numerous courses available there.,22,5,0,2
28,2022-07-20 08:32:17+00:00,https://twitter.com/ZileOrganics/status/1549673538558328833,ZileOrganics,Twitter for iPhone,"Dublin, Ireland",Set a reminder for my upcoming Space! https://t.co/1NxsbQwm5m #tomorrow we continue our #30daysoflearning in our #30daymeditationchallenge. Tune in #askwithzile #meditation #transformation2022 #unconditionallove ❤️💙🧡💚💛💜💖,1,0,0,0
29,2022-07-20 06:35:59+00:00,https://twitter.com/AyeshZaynab/status/1549644270491127809,AyeshZaynab,Twitter Web App,"Bahawalpur, Pakistan","Capstone Project 
Title: AIRLINE DELAY ANALYSIS
Complete project with Report, Insights and Dashboard is documented on GitHub. 
https://t.co/DJQxVGBEj0
Open to corrections.
#NG30DaysOfLearning  #30daysoflearning 
@TheOyinbooke @its_royalgold @AhmedOyelowo #DataAnalytics #PowerBI https://t.co/uqFvBFr0BO",5,2,0,0
30,2022-07-20 03:24:25+00:00,https://twitter.com/Suleimanmary1/status/1549596059088846848,Suleimanmary1,Twitter for Android,"Kogi, Nigeria","My first project post on twitter, it was a nice experience working on this project. #30daysoflearning capstone on Airline Delay. A link to the documentation. 
https://t.co/b3nCz0rzhK
I'll be grateful for your corrections. 
@TheOyinbooke
@jessica_xls
@PauloDaguvnor 
@addy_xls https://t.co/8XkOLnkitH",3,1,0,0
31,2022-07-20 02:32:25+00:00,https://twitter.com/datacyborg/status/1549582973795704833,datacyborg,Twitter for iPhone,,Sneak peek into my #30daysoflearning capstone project. I worked with the airplane crashes and fatalities since 1908 dataset. Documentation on GitHub coming. @TheOyinbooke @unstoppable_tp @deborah_elohor @jessica_xls please I would love your insights.,13,3,0,2
